Species,TotalMiss
Maratus_sp_JXZ159a ,14.2415043
Sinopoda_sp_ZYL139 ,39.0769142
Allagelena_difficilis_JXZ592a ,59.0715909
Trichonephila_clavipes ,15.1868184
Plexippoides_regius_JXZ423 ,59.3509913
Zelotes_wuchangensis_ZYL173 ,20.6789342
Rhomphaea_sp_JXZ609 ,34.7729692
Argiope_bruennichi ,16.1251547
Chericanthium_insigne_ZYL082 ,4.5295370
Xysticus_kansuensis_ZYL191 ,51.0430035
Stegodyphus_mimosarum ,10.6300176
Attulus_sinensis_JXZ421 ,12.9785198
Cheiracanthium_taegense_ZYL137 ,17.3833914
Marpissa_milleri_JXZ425 ,8.1569936
Ovia_alboannulata_JXZ610 ,11.9356602
Plator_insolens_JXZ602b ,22.7681783
Hahnia_zhejiangensis_ZYL162 ,31.5643254
Attulus_fasciger_JXZ416 ,5.1268955
Tetragnatha_praedonia_JXZ594 ,64.3759532
Ummeliata_feminea_JXZ604 ,57.1436279
Anelosimus_studiosus ,19.2940897
Calommata_signata_JXZ606 ,75.8067649
Pisaura_bicornis_ZYL165 ,47.6300607
Pardosa_pseudoannulata ,13.1375709
Parasteatoda_tepidariorum ,11.1652231
Araneus_ventricosus ,21.1650793
Clubiona_pseudogermanica_YCH205 ,7.5586280
Corythalia_opima_JXZ418 ,19.0190775
Anahita_fauna_ZYL195a ,28.8988720
Matidia_sp_ZYL148 ,20.3236411
Mallinella_zhui_ZYL190 ,24.5657209
Spartaeus_jaegeri_JXZ588 ,12.9212586
Acanthoscurria_geniculata ,57.5546715
Synagelides_agoriformis_JXZ424 ,4.7698760
Trichonephila_clavata_JXZ596 ,51.8625730
Habronattus_ophrys_JXZ426 ,62.4904325
Pardosa_laura ,9.1958248
Thiania_bhamoensis_JXZ591 ,41.0401980
Telamonia_caprina_JXZ569 ,13.3597819
Latrodectus_hesperus ,38.9087992
Argyroneta_aquatica ,8.0174373
Oxyopes_sushilae_ZYL174 ,17.0926251
Thanatus_sp_YHD021 ,17.9357897
Stegodyphus_dumicola ,12.9138492
Myrmarachne_formicaria_JXZ414 ,10.2417777
Pholcus_manueli_JXZ600 ,66.2104710
Dictyna_foliicola_ZYL194 ,59.4960867
Dysdera_silvatica ,62.7537910
Evarcha_albaria_JXZ412 ,6.0814894
Portia_heteroidea_JXZ415 ,3.5447300
Parabathippus_shelfordi_JXZ417 ,51.5463413
Hamadruas_sikkimensis_JXZ616 ,20.1430092
Oxytate_parallela_ZYL156 ,35.6005956
Mendoza_nobilis_JXZ419 ,8.2552585
Loxosceles_reclusa ,59.9840302
Pireneitega_luctuosa_ZYL167 ,26.9617011
Orthobula_crucifera_JXZ601 ,30.1321469
