Species,TotalMiss
Maratus_sp_JXZ159a ,13.6967913
Sinopoda_sp_ZYL139 ,37.4942889
Allagelena_difficilis_JXZ592a ,57.7095535
Trichonephila_clavipes ,14.5020437
Plexippoides_regius_JXZ423 ,58.8751109
Zelotes_wuchangensis_ZYL173 ,19.9388369
Rhomphaea_sp_JXZ609 ,33.5883325
Argiope_bruennichi ,15.4843874
Chericanthium_insigne_ZYL082 ,4.4008783
Xysticus_kansuensis_ZYL191 ,49.5139174
Stegodyphus_mimosarum ,10.1799152
Attulus_sinensis_JXZ421 ,12.6171010
Cheiracanthium_taegense_ZYL137 ,16.5074453
Marpissa_milleri_JXZ425 ,8.0540549
Ovia_alboannulata_JXZ610 ,10.4840469
Plator_insolens_JXZ602b ,22.0516871
Hahnia_zhejiangensis_ZYL162 ,30.0690840
Attulus_fasciger_JXZ416 ,5.1705441
Tetragnatha_praedonia_JXZ594 ,63.4680803
Ummeliata_feminea_JXZ604 ,55.8877483
Anelosimus_studiosus ,19.0203196
Calommata_signata_JXZ606 ,75.1288580
Pisaura_bicornis_ZYL165 ,46.8816557
Pardosa_pseudoannulata ,12.3254438
Parasteatoda_tepidariorum ,11.0422593
Araneus_ventricosus ,20.7482985
Clubiona_pseudogermanica_YCH205 ,7.4964547
Corythalia_opima_JXZ418 ,18.7795551
Anahita_fauna_ZYL195a ,27.7441682
Matidia_sp_ZYL148 ,19.1350386
Mallinella_zhui_ZYL190 ,23.0126788
Spartaeus_jaegeri_JXZ588 ,11.6785327
Acanthoscurria_geniculata ,57.5649111
Synagelides_agoriformis_JXZ424 ,4.5999337
Trichonephila_clavata_JXZ596 ,50.9684534
Habronattus_ophrys_JXZ426 ,61.8141062
Pardosa_laura ,8.8764502
Thiania_bhamoensis_JXZ591 ,40.8076708
Telamonia_caprina_JXZ569 ,12.4764382
Latrodectus_hesperus ,38.7549735
Argyroneta_aquatica ,7.7949997
Oxyopes_sushilae_ZYL174 ,15.8857892
Thanatus_sp_YHD021 ,16.7526485
Stegodyphus_dumicola ,12.5999582
Myrmarachne_formicaria_JXZ414 ,9.5881060
Pholcus_manueli_JXZ600 ,65.5861345
Dictyna_foliicola_ZYL194 ,58.1838121
Dysdera_silvatica ,62.3598442
Evarcha_albaria_JXZ412 ,5.9153375
Portia_heteroidea_JXZ415 ,3.4783813
Parabathippus_shelfordi_JXZ417 ,51.4378141
Hamadruas_sikkimensis_JXZ616 ,18.8052693
Oxytate_parallela_ZYL156 ,34.5599619
Mendoza_nobilis_JXZ419 ,7.8864534
Loxosceles_reclusa ,60.2310758
Pireneitega_luctuosa_ZYL167 ,25.6473894
Orthobula_crucifera_JXZ601 ,29.2029899
