Species,TotalMiss
BS_UCE_Acros_Acrosnemus_occultus ,75.817822
BS_UCE_Cryp31_Xanthocryptus_sp_2 ,78.543739
BS_UCE_Ich503_Camera_euryapsis ,4.692601
BS_UCE_Ich722_Paragambrus_sp ,22.488653
BS_UCE_Ich724_Mecistum_sp ,30.855658
BS_UCE_Ich725_Lipoprion_rufo_ornatus ,22.296873
BS_UCE_Ich728_Aprix_nutatoria ,28.583640
BS_UCE_Ich730_Hypsanacis_sp ,22.496538
BS_UCE_Ich731_Myrmecacis_metargas ,29.149831
BS_UCE_Ich732_Picrocryptoides_willinki ,25.830597
BS_UCE_Ich733_Neaprix_sp ,14.965413
BS_UCE_Ich738_Cremnocryptus_sp ,76.876394
BS_UCE_Ich741_Leptarthron_tuberculatum ,75.908665
BS_UCE_Ich746_Reptatrix_crassipes ,39.578464
BS_UCE_Ich748_Dochmidium_camponotus ,29.758604
BS_UCE_Ich749_Nothischnus_riverai ,48.803114
BS_UCE_Ich751_Junctivena_gallowayi ,39.271238
C0001_Agonocryptus_physocnemis ,33.290120
C0002_Bathyzonus_sp ,34.393482
C0004_Latosculum_n_sp ,15.410480
C0005_Loxopus_australis ,41.925238
C0006_Photocryptus_concinnus ,39.128981
C0009_Baltazaria_sp_1 ,42.615706
C0013_Diapetimorpha_sp_1 ,28.935972
C0014_Cryptanura_quadrimaculata ,22.311067
C0017_Polycyrtus_tuberculatus ,17.912128
C0020_Basileucus_venturii ,21.730682
C0021_Neocryptopteryx_blanchardi ,11.291956
C0026_Messatoporus_euryoikos ,27.826616
C0029_Digonocryptus_narratorius ,20.213165
C0040_Bicristella_sp ,29.532759
C0070_Cryptopteryx_columbianus ,8.286571
C0124_Eurycryptus_n_sp_1 ,34.849589
C0138_Microstenus_canaliculatus ,27.076532
C0140_Mansa_sp ,21.510830
C0142_Goryphus_sp_1 ,12.210478
C0151_Arhytis_siamensis ,44.951440
C0152_Kemalia_sp_2 ,7.153244
C0155_Torbda_geniculata ,12.510764
C0156_Amrapalia_multimaculata ,35.026859
C0158_Platymystax_sp ,13.560819
C0161_Hedycryptus_rufopetiolatus ,10.846889
C0164_Hadrocryptus_n_sp ,30.806451
C0168_Palmerella_sp ,8.392555
C0169_Myrmeleonostenus_longipetiolatus ,31.750838
C0173_Stenarella_insidiator ,5.934751
C0177_Pterocryptus_sp_1 ,12.150547
C0182_Acromia_sp_1 ,11.467964
C0183_Etha_sp ,11.195435
C0191_Pharzites_sp ,24.545865
C0201_Echthrus_n_sp ,34.021279
C0202_Thelodon_sp_1 ,14.409001
C0213_Pterocryptus_sp_2 ,19.510395
C0216_Chlorocryptus_purpuratus ,24.130448
C0218_Dinocryptus_fulgidipennis ,48.649501
C0219_Amauromorpha_accepta ,36.647520
C0224_Messatoporus_discoidalis ,11.080304
C0225_Lanugo_schlingeri ,8.621239
C0226_Pachysomoides_fulvus ,11.429482
C0227_Aritranis_sp_1 ,13.107551
C0229_Buathra_laborator ,8.788415
C0238_Vulgichneumon_sp ,7.733944
C0239_Pygocryptus_erugatus ,18.421227
C0242_Gelis_sp_2 ,9.672871
C0247_Schenkia_sp_1 ,13.312894
C0249_Jarva_sp ,12.910725
C0250_Trychosis_exulans ,10.972113
C0254_Oresbius_sp ,73.901290
C0255_Gambrus_polyphemi ,8.609253
C0256_Giraudia_sp_1 ,56.194189
C0258_Ceratomansa_n_sp ,17.980261
C0259_Allophatnus_sp_1 ,7.201504
C0260_Paraphylax_sp ,16.402812
C0270_Necolio_sp_1 ,14.172747
C0283_Digonocryptus_zopherus ,61.692390
C0287_Toechorychus_amapaeus ,17.439935
C0289_Digonocryptus_arcaeus ,7.899858
C0296_Cryptoxenodon_metamorphus ,21.687469
C0299_Coesula_fulvipes ,16.957017
C0302_Isdromas_sp ,9.690850
C0303_Platylabini ,11.532311
C0308_Whymperia_sp ,20.825724
C0309_Ischnus_cinctipes ,8.606414
C0310_Lymeon_orbus ,12.124997
C0311_Polycyrtidea_pusilla ,12.863411
C0312_Baryceros_texanus ,8.773275
C0315_Acroricnus_stylator ,6.723002
C0317_Listrognathus_albomaculata ,8.161347
C0318_Mesostenus_thoracicus ,18.754633
C0324_Skeatia_rugosa ,14.955320
C0332_Diapetimorpha_alabama ,12.484899
C0333_Cubocephalus_sp_1 ,54.569112
C0335_Cryptus_albitarsis ,27.589100
C0339_Apsilops_hirtifrons ,19.085515
C0340_Hylophasma_debilis ,39.844684
C0342_Cryptohelcostizus_dichrous ,20.377503
C0346_Xanthocryptus_novozelandicus ,36.452902
C0353_Schreineria_sp ,24.425056
C0355_Cryptohelcostizus_fumipennis ,8.667291
C0357_Nematopodius_sp_2 ,6.016762
C0358_Friona_sp_1 ,32.733077
C0365_Eurycryptus_n_sp_2 ,16.371585
C0367_Ateleute_sp_4 ,38.727758
C0371_Eiphosoma_sp ,28.147405
C0376_Arthula_sp ,35.928979
C0377_Gambroides_rangaparensis ,45.966167
C0380_Stiromesostenus_nigriceps ,33.570850
C0386_Isotima_albicineta ,27.496365
C0389_Coccygodes_nobilis ,11.110270
C0410_Odontostoma_sp ,20.710278
C0415_Hoeocryptus_bellicosus ,11.942365
C0417_Piasites_carinatus ,17.179077
C0418_Debilos_soror ,24.270182
C0421_Glodianus_sp_2 ,51.779164
C0422_Priotomis_golbachi ,10.234015
C0427_Lamprocryptus_sp_2 ,36.033069
C0430_Dinocryptus_niger ,8.267961
C0431_Palpostilpnus_sp ,9.751412
C0434_Xenarthron_pectoralis ,21.021919
